rgn_id,year,taxa_code,sust_coeff
1833,2012,Chars nei_1057,0.444010417
1833,2012,European flat oyster_1058,0.83
1833,2012,Finfishes nei_1059,0.444010417
1833,2012,Great Atlantic scallop_1060,0.811764706
1833,2012,Marine crustaceans nei_1061,0.3
1833,2012,Pacific cupped oyster_1062,0.73
1833,2012,Rainbow trout_1063,0.566666667
1833,2012,Scallops nei_1064,0.833333333
1834,2012,Arctic char_1052,0.533333333
1834,2012,Atlantic cod_1053,0.17
1834,2012,Atlantic halibut_1054,0.533333333
1834,2012,Atlantic salmon_1055,0.23
1834,2012,Blue mussel_1056,0.93
1834,2012,Chars nei_1057,0.444010417
1834,2012,European flat oyster_1058,0.83
1834,2012,Finfishes nei_1059,0.444010417
1834,2012,Great Atlantic scallop_1060,0.811764706
1834,2012,Marine crustaceans nei_1061,0.3
1834,2012,Pacific cupped oyster_1062,0.73
1834,2012,Rainbow trout_1063,0.566666667
1834,2012,Scallops nei_1064,0.833333333
1835,2012,Arctic char_1052,0.533333333
1835,2012,Atlantic cod_1053,0.17
1835,2012,Atlantic halibut_1054,0.533333333
1835,2012,Atlantic salmon_1055,0.23
1835,2012,Blue mussel_1056,0.93
1835,2012,Chars nei_1057,0.444010417
1835,2012,European flat oyster_1058,0.83
1835,2012,Finfishes nei_1059,0.444010417
1835,2012,Great Atlantic scallop_1060,0.811764706
1835,2012,Marine crustaceans nei_1061,0.3
1835,2012,Pacific cupped oyster_1062,0.73
1835,2012,Rainbow trout_1063,0.566666667
1835,2012,Scallops nei_1064,0.833333333
1836,2012,Arctic char_1052,0.533333333
1836,2012,Atlantic cod_1053,0.17
1836,2012,Atlantic halibut_1054,0.533333333
1836,2012,Atlantic salmon_1055,0.23
1836,2012,Blue mussel_1056,0.93
1836,2012,Chars nei_1057,0.444010417
1836,2012,European flat oyster_1058,0.83
1836,2012,Finfishes nei_1059,0.444010417
1836,2012,Great Atlantic scallop_1060,0.811764706
1836,2012,Marine crustaceans nei_1061,0.3
1836,2012,Pacific cupped oyster_1062,0.73
1836,2012,Rainbow trout_1063,0.566666667
1836,2012,Scallops nei_1064,0.833333333
1837,2012,Arctic char_1052,0.533333333
1837,2012,Atlantic cod_1053,0.17
1837,2012,Atlantic halibut_1054,0.533333333
1837,2012,Atlantic salmon_1055,0.23
1837,2012,Blue mussel_1056,0.93
1837,2012,Chars nei_1057,0.444010417
1837,2012,European flat oyster_1058,0.83
1837,2012,Finfishes nei_1059,0.444010417
1837,2012,Great Atlantic scallop_1060,0.811764706
1837,2012,Marine crustaceans nei_1061,0.3
1837,2012,Pacific cupped oyster_1062,0.73
1837,2012,Rainbow trout_1063,0.566666667
1837,2012,Scallops nei_1064,0.833333333
1838,2012,Arctic char_1052,0.533333333
1838,2012,Atlantic cod_1053,0.17
1838,2012,Atlantic halibut_1054,0.533333333
1838,2012,Atlantic salmon_1055,0.23
1838,2012,Blue mussel_1056,0.93
1838,2012,Chars nei_1057,0.444010417
1838,2012,European flat oyster_1058,0.83
1838,2012,Finfishes nei_1059,0.444010417
1838,2012,Great Atlantic scallop_1060,0.811764706
1838,2012,Marine crustaceans nei_1061,0.3
1838,2012,Pacific cupped oyster_1062,0.73
1838,2012,Rainbow trout_1063,0.566666667
1838,2012,Scallops nei_1064,0.833333333
1840,2012,Arctic char_1052,0.533333333
1840,2012,Atlantic cod_1053,0.17
1840,2012,Atlantic halibut_1054,0.533333333
1840,2012,Atlantic salmon_1055,0.23
1840,2012,Blue mussel_1056,0.93
1840,2012,Chars nei_1057,0.444010417
1840,2012,European flat oyster_1058,0.83
1840,2012,Finfishes nei_1059,0.444010417
1840,2012,Great Atlantic scallop_1060,0.811764706
1840,2012,Marine crustaceans nei_1061,0.3
1840,2012,Pacific cupped oyster_1062,0.73
1840,2012,Rainbow trout_1063,0.566666667
1840,2012,Scallops nei_1064,0.833333333
1841,2012,Arctic char_1052,0.533333333
1841,2012,Atlantic cod_1053,0.17
1841,2012,Atlantic halibut_1054,0.533333333
1841,2012,Atlantic salmon_1055,0.23
1841,2012,Blue mussel_1056,0.93
1841,2012,Chars nei_1057,0.444010417
1841,2012,European flat oyster_1058,0.83
1841,2012,Finfishes nei_1059,0.444010417
1841,2012,Great Atlantic scallop_1060,0.811764706
1841,2012,Marine crustaceans nei_1061,0.3
1841,2012,Pacific cupped oyster_1062,0.73
1841,2012,Rainbow trout_1063,0.566666667
1841,2012,Scallops nei_1064,0.833333333
1845,2012,Arctic char_1052,0.533333333
1845,2012,Atlantic cod_1053,0.17
1845,2012,Atlantic halibut_1054,0.533333333
1845,2012,Atlantic salmon_1055,0.23
1845,2012,Blue mussel_1056,0.93
1845,2012,Chars nei_1057,0.444010417
1845,2012,European flat oyster_1058,0.83
1845,2012,Finfishes nei_1059,0.444010417
1845,2012,Great Atlantic scallop_1060,0.811764706
1845,2012,Marine crustaceans nei_1061,0.3
1845,2012,Pacific cupped oyster_1062,0.73
1845,2012,Rainbow trout_1063,0.566666667
1845,2012,Scallops nei_1064,0.833333333
1848,2012,Arctic char_1052,0.533333333
1848,2012,Atlantic cod_1053,0.17
1848,2012,Atlantic halibut_1054,0.533333333
1848,2012,Atlantic salmon_1055,0.23
1848,2012,Blue mussel_1056,0.93
1848,2012,Chars nei_1057,0.444010417
1848,2012,European flat oyster_1058,0.83
1848,2012,Finfishes nei_1059,0.444010417
1848,2012,Great Atlantic scallop_1060,0.811764706
1848,2012,Marine crustaceans nei_1061,0.3
1848,2012,Pacific cupped oyster_1062,0.73
1848,2012,Rainbow trout_1063,0.566666667
1848,2012,Scallops nei_1064,0.833333333
1849,2012,Arctic char_1052,0.533333333
