rgn_id,year,resilience.score
1820,2005,0.16175604096306
1820,2006,0.161791700604387
1820,2007,0.161791700604387
1820,2008,0.161796096998523
1820,2009,0.162833157526417
1820,2010,0.162989473762369
1820,2011,0.162989473762369
1820,2012,0.164000644413683
1820,2013,0.164750473858015
1820,2014,0.164754381763913
1820,2015,0.164755358740388
1820,2016,0.166311682264585
1820,2017,0.166311682264585
1820,2018,0.166311682264585
1822,2000,0.140996267852169
1822,2001,0.140997244828644
1822,2002,0.148058830787772
1822,2003,0.156414910575878
1822,2004,0.157028940290227
1822,2005,0.16175604096306
1822,2006,0.161791700604387
1822,2007,0.161791700604387
1822,2008,0.161796096998523
1822,2009,0.162833157526417
1822,2010,0.162989473762369
1822,2011,0.162989473762369
1822,2012,0.164000644413683
1822,2013,0.164750473858015
1822,2014,0.164754381763913
1822,2015,0.164755358740388
1822,2016,0.166311682264585
1822,2017,0.166311682264585
1822,2018,0.166311682264585
1824,2000,0.140996267852169
1824,2001,0.140997244828644
1824,2002,0.148058830787772
1824,2003,0.156414910575878
1824,2004,0.157028940290227
1824,2005,0.16175604096306
1824,2006,0.161791700604387
1824,2007,0.161791700604387
1824,2008,0.161796096998523
