rgn_id,year,popsum
1832,2002,4746237.59225451
1832,2003,4778119.63719582
1832,2004,4810001.68213713
1832,2005,4841883.72707843
1832,2006,4902088.51601531
1832,2007,4962293.3049522
1832,2008,5022498.09388908
1832,2009,5082702.88282596
1832,2010,5142907.67176284
1832,2011,5214612.89719068
1832,2012,5286318.12261851
1832,2013,5358023.34804634
1832,2014,5429728.57347418
1832,2015,5501433.79890201
1832,2016,5565675.57572275
1832,2017,5629917.35254349
1832,2018,5694159.12936424
1832,2019,5758400.90618498
1832,2020,5822642.68300572
1833,2000,4682473.5023719
1833,2001,4714355.54731321
1833,2002,4746237.59225451
1833,2003,4778119.63719582
1833,2004,4810001.68213713
1833,2005,4841883.72707843
1833,2006,4902088.51601531
1833,2007,4962293.3049522
1833,2008,5022498.09388908
1833,2009,5082702.88282596
1833,2010,5142907.67176284
1833,2011,5214612.89719068
1833,2012,5286318.12261851
1833,2013,5358023.34804634
1833,2014,5429728.57347418
1833,2015,5501433.79890201
1833,2016,5565675.57572275
1833,2017,5629917.35254349
1833,2018,5694159.12936424
1833,2019,5758400.90618498
1833,2020,5822642.68300572
1834,2000,4682473.5023719
1834,2001,4714355.54731321
1834,2002,4746237.59225451
1834,2003,4778119.63719582
1834,2004,4810001.68213713
1834,2005,4841883.72707843
1834,2006,4902088.51601531
1834,2007,4962293.3049522
1834,2008,5022498.09388908
1834,2009,5082702.88282596
1834,2010,5142907.67176284
1834,2011,5214612.89719068
1834,2012,5286318.12261851
1834,2013,5358023.34804634
1834,2014,5429728.57347418
1834,2015,5501433.79890201
1834,2016,5565675.57572275
1834,2017,5629917.35254349
1834,2018,5694159.12936424
1834,2019,5758400.90618498
1834,2020,5822642.68300572
1835,2000,4682473.5023719
1835,2001,4714355.54731321
1835,2002,4746237.59225451
1835,2003,4778119.63719582
1835,2004,4810001.68213713
1835,2005,4841883.72707843
1835,2006,4902088.51601531
1835,2007,4962293.3049522
1835,2008,5022498.09388908
1835,2009,5082702.88282596
1835,2010,5142907.67176284
1835,2011,5214612.89719068
1835,2012,5286318.12261851
1835,2013,5358023.34804634
1835,2014,5429728.57347418
1835,2015,5501433.79890201
1835,2016,5565675.57572275
1835,2017,5629917.35254349
1835,2018,5694159.12936424
1835,2019,5758400.90618498
1835,2020,5822642.68300572
1836,2000,4682473.5023719
1836,2001,4714355.54731321
1836,2002,4746237.59225451
1836,2003,4778119.63719582
1836,2004,4810001.68213713
1836,2005,4841883.72707843
1836,2006,4902088.51601531
1836,2007,4962293.3049522
1836,2008,5022498.09388908
1836,2009,5082702.88282596
1836,2010,5142907.67176284
1836,2011,5214612.89719068
1836,2012,5286318.12261851
1836,2013,5358023.34804634
1836,2014,5429728.57347418
1836,2015,5501433.79890201
1836,2016,5565675.57572275
1836,2017,5629917.35254349
1836,2018,5694159.12936424
1836,2019,5758400.90618498
1836,2020,5822642.68300572
1837,2000,4682473.5023719
1837,2001,4714355.54731321
1837,2002,4746237.59225451
1837,2003,4778119.63719582
1837,2004,4810001.68213713
1837,2005,4841883.72707843
1837,2006,4902088.51601531
1837,2007,4962293.3049522
1837,2008,5022498.09388908
1837,2009,5082702.88282596
1837,2010,5142907.67176284
1837,2011,5214612.89719068
1837,2012,5286318.12261851
1837,2013,5358023.34804634
1837,2014,5429728.57347418
1837,2015,5501433.79890201
1837,2016,5565675.57572275
1837,2017,5629917.35254349
1837,2018,5694159.12936424
1837,2019,5758400.90618498
1837,2020,5822642.68300572
1838,2000,4682473.5023719
1838,2001,4714355.54731321
1838,2002,4746237.59225451
1838,2003,4778119.63719582
1838,2004,4810001.68213713
1838,2005,4841883.72707843
1838,2006,4902088.51601531
1838,2007,4962293.3049522
1838,2008,5022498.09388908
1838,2009,5082702.88282596
1838,2010,5142907.67176284
1838,2011,5214612.89719068
1838,2012,5286318.12261851
1838,2013,5358023.34804634
1838,2014,5429728.57347418
1838,2015,5501433.79890201
1838,2016,5565675.57572275
1838,2017,5629917.35254349
1838,2018,5694159.12936424
1838,2019,5758400.90618498
1838,2020,5822642.68300572
1840,2000,4682473.5023719
1840,2001,4714355.54731321
1840,2002,4746237.59225451
1840,2003,4778119.63719582
1840,2004,4810001.68213713
1840,2005,4841883.72707843
1840,2006,4902088.51601531
1840,2007,4962293.3049522
1840,2008,5022498.09388908
1840,2009,5082702.88282596
1840,2010,5142907.67176284
1840,2011,5214612.89719068
1840,2012,5286318.12261851
1840,2013,5358023.34804634
1840,2014,5429728.57347418
1840,2015,5501433.79890201
1840,2016,5565675.57572275
1840,2017,5629917.35254349
1840,2018,5694159.12936424
1840,2019,5758400.90618498
1840,2020,5822642.68300572
1841,2000,4682473.5023719
1841,2001,4714355.54731321
1841,2002,4746237.59225451
1841,2003,4778119.63719582
1841,2004,4810001.68213713
1841,2005,4841883.72707843
1841,2006,4902088.51601531
1841,2007,4962293.3049522
1841,2008,5022498.09388908
1841,2009,5082702.88282596
1841,2010,5142907.67176284
1841,2011,5214612.89719068
1841,2012,5286318.12261851
1841,2013,5358023.34804634
1841,2014,5429728.57347418
1841,2015,5501433.79890201
1841,2016,5565675.57572275
1841,2017,5629917.35254349
1841,2018,5694159.12936424
1841,2019,5758400.90618498
1841,2020,5822642.68300572
1845,2000,4682473.5023719
1845,2001,4714355.54731321
1845,2002,4746237.59225451
1845,2003,4778119.63719582
1845,2004,4810001.68213713
1845,2005,4841883.72707843
1845,2006,4902088.51601531
1845,2007,4962293.3049522
1845,2008,5022498.09388908
1845,2009,5082702.88282596
1845,2010,5142907.67176284
1845,2011,5214612.89719068
1845,2012,5286318.12261851
1845,2013,5358023.34804634
1845,2014,5429728.57347418
1845,2015,5501433.79890201
1845,2016,5565675.57572275
1845,2017,5629917.35254349
1845,2018,5694159.12936424
1845,2019,5758400.90618498
1845,2020,5822642.68300572
1848,2000,4682473.5023719
1848,2001,4714355.54731321
1848,2002,4746237.59225451
1848,2003,4778119.63719582
1848,2004,4810001.68213713
1848,2005,4841883.72707843
1848,2006,4902088.51601531
1848,2007,4962293.3049522
1848,2008,5022498.09388908
1848,2009,5082702.88282596
1848,2010,5142907.67176284
1848,2011,5214612.89719068
1848,2012,5286318.12261851
1848,2013,5358023.34804634
1848,2014,5429728.57347418
1848,2015,5501433.79890201
1848,2016,5565675.57572275
1848,2017,5629917.35254349
1848,2018,5694159.12936424
1848,2019,5758400.90618498
1848,2020,5822642.68300572
1849,2000,4682473.5023719
1849,2001,4714355.54731321
1849,2002,4746237.59225451
1849,2003,4778119.63719582
1849,2004,4810001.68213713
1849,2005,4841883.72707843
1849,2006,4902088.51601531
1849,2007,4962293.3049522
1849,2008,5022498.09388908
1849,2009,5082702.88282596
1849,2010,5142907.67176284
1849,2011,5214612.89719068
1849,2012,5286318.12261851
1849,2013,5358023.34804634
1849,2014,5429728.57347418
1849,2015,5501433.79890201
1849,2016,5565675.57572275
1849,2017,5629917.35254349
1849,2018,5694159.12936424
1849,2019,5758400.90618498
1849,2020,5822642.68300572
1850,2000,4682473.5023719
1850,2001,4714355.54731321
1850,2002,4746237.59225451
1850,2003,4778119.63719582
1850,2004,4810001.68213713
1850,2005,4841883.72707843
1850,2006,4902088.51601531
1850,2007,4962293.3049522
1850,2008,5022498.09388908
1850,2009,5082702.88282596
1850,2010,5142907.67176284
1850,2011,5214612.89719068
1850,2012,5286318.12261851
1850,2013,5358023.34804634
1850,2014,5429728.57347418
1850,2015,5501433.79890201
1850,2016,5565675.57572275
1850,2017,5629917.35254349
1850,2018,5694159.12936424
1850,2019,5758400.90618498
1850,2020,5822642.68300572
1851,2000,4682473.5023719
1851,2001,4714355.54731321
1851,2002,4746237.59225451
1851,2003,4778119.63719582
1851,2004,4810001.68213713
1851,2005,4841883.72707843
1851,2006,4902088.51601531
1851,2007,4962293.3049522
1851,2008,5022498.09388908
1851,2009,5082702.88282596
1851,2010,5142907.67176284
1851,2011,5214612.89719068
1851,2012,5286318.12261851
1851,2013,5358023.34804634
1851,2014,5429728.57347418
1851,2015,5501433.79890201
1851,2016,5565675.57572275
1851,2017,5629917.35254349
1851,2018,5694159.12936424
1851,2019,5758400.90618498
1851,2020,5822642.68300572
1852,2000,4682473.5023719
1852,2001,4714355.54731321
1852,2002,4746237.59225451
1852,2003,4778119.63719582
1852,2004,4810001.68213713
1852,2005,4841883.72707843
1852,2006,4902088.51601531
1852,2007,4962293.3049522
1852,2008,5022498.09388908
1852,2009,5082702.88282596
1852,2010,5142907.67176284
1852,2011,5214612.89719068
1852,2012,5286318.12261851
1852,2013,5358023.34804634
1852,2014,5429728.57347418
1852,2015,5501433.79890201
1852,2016,5565675.57572275
1852,2017,5629917.35254349
1852,2018,5694159.12936424
1852,2019,5758400.90618498
1852,2020,5822642.68300572
1853,2000,4682473.5023719
1853,2001,4714355.54731321
1853,2002,4746237.59225451
1853,2003,4778119.63719582
1853,2004,4810001.68213713
1853,2005,4841883.72707843
1853,2006,4902088.51601531
1853,2007,4962293.3049522
1853,2008,5022498.09388908
1853,2009,5082702.88282596
1853,2010,5142907.67176284
1853,2011,5214612.89719068
1853,2012,5286318.12261851
1853,2013,5358023.34804634
1853,2014,5429728.57347418
1853,2015,5501433.79890201
1853,2016,5565675.57572275
1853,2017,5629917.35254349
1853,2018,5694159.12936424
1853,2019,5758400.90618498
1853,2020,5822642.68300572
1854,2000,4682473.5023719
1854,2001,4714355.54731321
1854,2002,4746237.59225451
1854,2003,4778119.63719582
1854,2004,4810001.68213713
1854,2005,4841883.72707843
1854,2006,4902088.51601531
1854,2007,4962293.3049522
1854,2008,5022498.09388908
1854,2009,5082702.88282596
1854,2010,5142907.67176284
1854,2011,5214612.89719068
1854,2012,5286318.12261851
1854,2013,5358023.34804634
1854,2014,5429728.57347418
1854,2015,5501433.79890201
1854,2016,5565675.57572275
1854,2017,5629917.35254349
1854,2018,5694159.12936424
1854,2019,5758400.90618498
1854,2020,5822642.68300572
1856,2000,4682473.5023719
1856,2001,4714355.54731321
1856,2002,4746237.59225451
1856,2003,4778119.63719582
1856,2004,4810001.68213713
1856,2005,4841883.72707843
1856,2006,4902088.51601531
1856,2007,4962293.3049522
1856,2008,5022498.09388908
1856,2009,5082702.88282596
1856,2010,5142907.67176284
1856,2011,5214612.89719068
1856,2012,5286318.12261851
1856,2013,5358023.34804634
1856,2014,5429728.57347418
1856,2015,5501433.79890201
1856,2016,5565675.57572275
1856,2017,5629917.35254349
1856,2018,5694159.12936424
1856,2019,5758400.90618498
1856,2020,5822642.68300572
1857,2000,4682473.5023719
1857,2001,4714355.54731321
1857,2002,4746237.59225451
1857,2003,4778119.63719582
1857,2004,4810001.68213713
1857,2005,4841883.72707843
1857,2006,4902088.51601531
1857,2007,4962293.3049522
1857,2008,5022498.09388908
1857,2009,5082702.88282596
1857,2010,5142907.67176284
1857,2011,5214612.89719068
1857,2012,5286318.12261851
1857,2013,5358023.34804634
1857,2014,5429728.57347418
1857,2015,5501433.79890201
1857,2016,5565675.57572275
1857,2017,5629917.35254349
1857,2018,5694159.12936424
1857,2019,5758400.90618498
1857,2020,5822642.68300572
1859,2000,4682473.5023719
1859,2001,4714355.54731321
1859,2002,4746237.59225451
1859,2003,4778119.63719582
1859,2004,4810001.68213713
1859,2005,4841883.72707843
1859,2006,4902088.51601531
1859,2007,4962293.3049522
1859,2008,5022498.09388908
1859,2009,5082702.88282596
1859,2010,5142907.67176284
1859,2011,5214612.89719068
1859,2012,5286318.12261851
1859,2013,5358023.34804634
1859,2014,5429728.57347418
1859,2015,5501433.79890201
1859,2016,5565675.57572275
1859,2017,5629917.35254349
1859,2018,5694159.12936424
1859,2019,5758400.90618498
1859,2020,5822642.68300572
1860,2000,4682473.5023719
1860,2001,4714355.54731321
1860,2002,4746237.59225451
1860,2003,4778119.63719582
1860,2004,4810001.68213713
1860,2005,4841883.72707843
1860,2006,4902088.51601531
1860,2007,4962293.3049522
1860,2008,5022498.09388908
1860,2009,5082702.88282596
1860,2010,5142907.67176284
1860,2011,5214612.89719068
1860,2012,5286318.12261851
1860,2013,5358023.34804634
1860,2014,5429728.57347418
1860,2015,5501433.79890201
1860,2016,5565675.57572275
1860,2017,5629917.35254349
1860,2018,5694159.12936424
1860,2019,5758400.90618498
1860,2020,5822642.68300572
1865,2000,4682473.5023719
1865,2001,4714355.54731321
1865,2002,4746237.59225451
1865,2003,4778119.63719582
1865,2004,4810001.68213713
1865,2005,4841883.72707843
1865,2006,4902088.51601531
1865,2007,4962293.3049522
1865,2008,5022498.09388908
1865,2009,5082702.88282596
1865,2010,5142907.67176284
1865,2011,5214612.89719068
1865,2012,5286318.12261851
1865,2013,5358023.34804634
1865,2014,5429728.57347418
1865,2015,5501433.79890201
1865,2016,5565675.57572275
1865,2017,5629917.35254349
1865,2018,5694159.12936424
1865,2019,5758400.90618498
1865,2020,5822642.68300572
1866,2000,4682473.5023719
1866,2001,4714355.54731321
1866,2002,4746237.59225451
1866,2003,4778119.63719582
1866,2004,4810001.68213713
1866,2005,4841883.72707843
1866,2006,4902088.51601531
1866,2007,4962293.3049522
1866,2008,5022498.09388908
1866,2009,5082702.88282596
1866,2010,5142907.67176284
1866,2011,5214612.89719068
1866,2012,5286318.12261851
1866,2013,5358023.34804634
1866,2014,5429728.57347418
1866,2015,5501433.79890201
1866,2016,5565675.57572275
1866,2017,5629917.35254349
1866,2018,5694159.12936424
1866,2019,5758400.90618498
1866,2020,5822642.68300572
1867,2000,4682473.5023719
1867,2001,4714355.54731321
1867,2002,4746237.59225451
1867,2003,4778119.63719582
1867,2004,4810001.68213713
1867,2005,4841883.72707843
1867,2006,4902088.51601531
1867,2007,4962293.3049522
1867,2008,5022498.09388908
1867,2009,5082702.88282596
1867,2010,5142907.67176284
1867,2011,5214612.89719068
1867,2012,5286318.12261851
1867,2013,5358023.34804634
1867,2014,5429728.57347418
1867,2015,5501433.79890201
1867,2016,5565675.57572275
1867,2017,5629917.35254349
1867,2018,5694159.12936424
1867,2019,5758400.90618498
1867,2020,5822642.68300572
1868,2000,4682473.5023719
1868,2001,4714355.54731321
1868,2002,4746237.59225451
1868,2003,4778119.63719582
1868,2004,4810001.68213713
1868,2005,4841883.72707843
1868,2006,4902088.51601531
1868,2007,4962293.3049522
1868,2008,5022498.09388908
1868,2009,5082702.88282596
1868,2010,5142907.67176284
1868,2011,5214612.89719068
1868,2012,5286318.12261851
1868,2013,5358023.34804634
1868,2014,5429728.57347418
1868,2015,5501433.79890201
1868,2016,5565675.57572275
1868,2017,5629917.35254349
1868,2018,5694159.12936424
1868,2019,5758400.90618498
1868,2020,5822642.68300572
1870,2000,4682473.5023719
1870,2001,4714355.54731321
1870,2002,4746237.59225451
1870,2003,4778119.63719582
1870,2004,4810001.68213713
1870,2005,4841883.72707843
1870,2006,4902088.51601531
1870,2007,4962293.3049522
1870,2008,5022498.09388908
1870,2009,5082702.88282596
1870,2010,5142907.67176284
1870,2011,5214612.89719068
1870,2012,5286318.12261851
1870,2013,5358023.34804634
1870,2014,5429728.57347418
1870,2015,5501433.79890201
1870,2016,5565675.57572275
1870,2017,5629917.35254349
1870,2018,5694159.12936424
1870,2019,5758400.90618498
1870,2020,5822642.68300572
1871,2000,4682473.5023719
1871,2001,4714355.54731321
1871,2002,4746237.59225451
1871,2003,4778119.63719582
1871,2004,4810001.68213713
1871,2005,4841883.72707843
1871,2006,4902088.51601531
1871,2007,4962293.3049522
1871,2008,5022498.09388908
1871,2009,5082702.88282596
1871,2010,5142907.67176284
1871,2011,5214612.89719068
1871,2012,5286318.12261851
1871,2013,5358023.34804634
1871,2014,5429728.57347418
1871,2015,5501433.79890201
1871,2016,5565675.57572275
1871,2017,5629917.35254349
1871,2018,5694159.12936424
1871,2019,5758400.90618498
1871,2020,5822642.68300572
1874,2000,4682473.5023719
1874,2001,4714355.54731321
1874,2002,4746237.59225451
1874,2003,4778119.63719582
1874,2004,4810001.68213713
1874,2005,4841883.72707843
1874,2006,4902088.51601531
1874,2007,4962293.3049522
1874,2008,5022498.09388908
1874,2009,5082702.88282596
1874,2010,5142907.67176284
1874,2011,5214612.89719068
1874,2012,5286318.12261851
1874,2013,5358023.34804634
1874,2014,5429728.57347418
1874,2015,5501433.79890201
1874,2016,5565675.57572275
1874,2017,5629917.35254349
1874,2018,5694159.12936424
1874,2019,5758400.90618498
1874,2020,5822642.68300572
1902,2000,4682473.5023719
1902,2001,4714355.54731321
1902,2002,4746237.59225451
1902,2003,4778119.63719582
1902,2004,4810001.68213713
1902,2005,4841883.72707843
1902,2006,4902088.51601531
1902,2007,4962293.3049522
1902,2008,5022498.09388908
1902,2009,5082702.88282596
1902,2010,5142907.67176284
1902,2011,5214612.89719068
1902,2012,5286318.12261851
1902,2013,5358023.34804634
1902,2014,5429728.57347418
1902,2015,5501433.79890201
1902,2016,5565675.57572275
1902,2017,5629917.35254349
1902,2018,5694159.12936424
1902,2019,5758400.90618498
1902,2020,5822642.68300572
1903,2000,4682473.5023719
1903,2001,4714355.54731321
1903,2002,4746237.59225451
1903,2003,4778119.63719582
1903,2004,4810001.68213713
1903,2005,4841883.72707843
1903,2006,4902088.51601531
1903,2007,4962293.3049522
1903,2008,5022498.09388908
