rgn_id,year,a_prot_1km
1865,2011,6736.25
1865,2012,6736.5
1865,2013,6765.25
1865,2014,6769.75
1865,2015,6778.5
1865,2016,6819.75
1865,2017,6819.75
1865,2018,6819.75
1866,2000,4988
1866,2001,5001.75
1866,2002,5231.25
1866,2003,5860.5
1866,2004,6165
1866,2005,6386
1866,2006,6489.5
1866,2007,6491.5
1866,2008,6495.5
1866,2009,6630.75
1866,2010,6731
1866,2011,6736.25
1866,2012,6736.5
1866,2013,6765.25
1866,2014,6769.75
1866,2015,6778.5
1866,2016,6819.75
1866,2017,6819.75
1866,2018,6819.75
1867,2000,4988
1867,2001,5001.75
1867,2002,5231.25
1867,2003,5860.5
1867,2004,6165
1867,2005,6386
1867,2006,6489.5
1867,2007,6491.5
1867,2008,6495.5
1867,2009,6630.75
1867,2010,6731
1867,2011,6736.25
1867,2012,6736.5
1867,2013,6765.25
1867,2014,6769.75
1867,2015,6778.5
1867,2016,6819.75
1867,2017,6819.75
1867,2018,6819.75
1868,2000,4988
1868,2001,5001.75
1868,2002,5231.25
1868,2003,5860.5
1868,2004,6165
1868,2005,6386
1868,2006,6489.5
1868,2007,6491.5
1868,2008,6495.5
1868,2009,6630.75
1868,2010,6731
1868,2011,6736.25
1868,2012,6736.5
1868,2013,6765.25
1868,2014,6769.75
1868,2015,6778.5
1868,2016,6819.75
1868,2017,6819.75
1868,2018,6819.75
1870,2000,4988
1870,2001,5001.75
1870,2002,5231.25
1870,2003,5860.5
1870,2004,6165
1870,2005,6386
1870,2006,6489.5
1870,2007,6491.5
1870,2008,6495.5
1870,2009,6630.75
1870,2010,6731
1870,2011,6736.25
1870,2012,6736.5
1870,2013,6765.25
1870,2014,6769.75
1870,2015,6778.5
1870,2016,6819.75
1870,2017,6819.75
1870,2018,6819.75
1871,2000,4988
1871,2001,5001.75
1871,2002,5231.25
1871,2003,5860.5
1871,2004,6165
1871,2005,6386
1871,2006,6489.5
1871,2007,6491.5
1871,2008,6495.5
1871,2009,6630.75
1871,2010,6731
1871,2011,6736.25
1871,2012,6736.5
1871,2013,6765.25
1871,2014,6769.75
1871,2015,6778.5
1871,2016,6819.75
1871,2017,6819.75
1871,2018,6819.75
1874,2000,4988
1874,2001,5001.75
1874,2002,5231.25
1874,2003,5860.5
1874,2004,6165
1874,2005,6386
1874,2006,6489.5
1874,2007,6491.5
1874,2008,6495.5
1874,2009,6630.75
1874,2010,6731
1874,2011,6736.25
1874,2012,6736.5
1874,2013,6765.25
1874,2014,6769.75
1874,2015,6778.5
1874,2016,6819.75
1874,2017,6819.75
1874,2018,6819.75
1902,2000,4988
1902,2001,5001.75
1902,2002,5231.25
1902,2003,5860.5
1902,2004,6165
1902,2005,6386
1902,2006,6489.5
1902,2007,6491.5
1902,2008,6495.5
1902,2009,6630.75
1902,2010,6731
1902,2011,6736.25
1902,2012,6736.5
1902,2013,6765.25
1902,2014,6769.75
1902,2015,6778.5
1902,2016,6819.75
1902,2017,6819.75
1902,2018,6819.75
1903,2000,4988
1903,2001,5001.75
1903,2002,5231.25
1903,2003,5860.5
1903,2004,6165
1903,2005,6386
1903,2006,6489.5
1903,2007,6491.5
1903,2008,6495.5
1903,2009,6630.75
1903,2010,6731
1903,2011,6736.25
1903,2012,6736.5
1903,2013,6765.25
1903,2014,6769.75
1903,2015,6778.5
1903,2016,6819.75
1903,2017,6819.75
1903,2018,6819.75
1911,2000,4988
1911,2001,5001.75
1911,2002,5231.25
1911,2003,5860.5
1911,2004,6165
1911,2005,6386
1911,2006,6489.5
1911,2007,6491.5
1911,2008,6495.5
1911,2009,6630.75
1911,2010,6731
1911,2011,6736.25
1911,2012,6736.5
1911,2013,6765.25
1911,2014,6769.75
1911,2015,6778.5
1911,2016,6819.75
1911,2017,6819.75
1911,2018,6819.75
1913,2000,4988
1913,2001,5001.75
1913,2002,5231.25
1913,2003,5860.5
1913,2004,6165
1913,2005,6386
1913,2006,6489.5
1913,2007,6491.5
1913,2008,6495.5
1913,2009,6630.75
1913,2010,6731
1913,2011,6736.25
1913,2012,6736.5
1913,2013,6765.25
1913,2014,6769.75
1913,2015,6778.5
1913,2016,6819.75
1913,2017,6819.75
1913,2018,6819.75
1917,2000,4988
1917,2001,5001.75
1917,2002,5231.25
1917,2003,5860.5
1917,2004,6165
1917,2005,6386
1917,2006,6489.5
1917,2007,6491.5
1917,2008,6495.5
1917,2009,6630.75
1917,2010,6731
1917,2011,6736.25
1917,2012,6736.5
1917,2013,6765.25
1917,2014,6769.75
1917,2015,6778.5
1917,2016,6819.75
1917,2017,6819.75
1917,2018,6819.75
1919,2000,4988
1919,2001,5001.75
1919,2002,5231.25
1919,2003,5860.5
1919,2004,6165
1919,2005,6386
1919,2006,6489.5
1919,2007,6491.5
1919,2008,6495.5
1919,2009,6630.75
1919,2010,6731
1919,2011,6736.25
1919,2012,6736.5
1919,2013,6765.25
1919,2014,6769.75
1919,2015,6778.5
1919,2016,6819.75
1919,2017,6819.75
1919,2018,6819.75
1920,2000,4988
1920,2001,5001.75
1920,2002,5231.25
1920,2003,5860.5
1920,2004,6165
1920,2005,6386
1920,2006,6489.5
1920,2007,6491.5
1920,2008,6495.5
1920,2009,6630.75
1920,2010,6731
1920,2011,6736.25
1920,2012,6736.5
1920,2013,6765.25
1920,2014,6769.75
1920,2015,6778.5
1920,2016,6819.75
1920,2017,6819.75
1920,2018,6819.75
1923,2000,4988
1923,2001,5001.75
1923,2002,5231.25
1923,2003,5860.5
1923,2004,6165
1923,2005,6386
1923,2006,6489.5
1923,2007,6491.5
1923,2008,6495.5
1923,2009,6630.75
1923,2010,6731
1923,2011,6736.25
1923,2012,6736.5
1923,2013,6765.25
1923,2014,6769.75
1923,2015,6778.5
1923,2016,6819.75
1923,2017,6819.75
1923,2018,6819.75
1924,2000,4988
1924,2001,5001.75
1924,2002,5231.25
1924,2003,5860.5
1924,2004,6165
1924,2005,6386
