rgn_id,year,w_fis
1837,2006,0.847079264616543
1837,2007,0.841101774785954
1837,2008,0.823496057313619
1837,2009,0.801858531364454
1837,2010,0.792306824533525
1837,2011,0.753948780967291
1837,2012,0.782599126450226
1837,2013,0.763758278210251
1837,2014,0.755798003897495
1837,2015,0.787305746268538
1838,2005,0.834012993538083
1838,2006,0.847079264616543
1838,2007,0.841101774785954
1838,2008,0.823496057313619
1838,2009,0.801858531364454
1838,2010,0.792306824533525
1838,2011,0.753948780967291
1838,2012,0.782599126450226
1838,2013,0.763758278210251
1838,2014,0.755798003897495
1838,2015,0.787305746268538
1840,2005,0.834012993538083
1840,2006,0.847079264616543
1840,2007,0.841101774785954
1840,2008,0.823496057313619
1840,2009,0.801858531364454
1840,2010,0.792306824533525
1840,2011,0.753948780967291
