rgn_id,habitat,year,km2
1851,seaice_edge,2017,107057.291666667
1851,seaice_shoreline,2017,20991.9507575758
1852,seaice_edge,2017,107057.291666667
1852,seaice_shoreline,2017,20991.9507575758
1853,seaice_edge,2017,107057.291666667
1853,seaice_shoreline,2017,20991.9507575758
1854,seaice_edge,2017,107057.291666667
1854,seaice_shoreline,2017,20991.9507575758
1856,seaice_edge,2017,107057.291666667
1856,seaice_shoreline,2017,20991.9507575758
1857,seaice_edge,2017,107057.291666667
1857,seaice_shoreline,2017,20991.9507575758
1859,seaice_edge,2017,107057.291666667
1859,seaice_shoreline,2017,20991.9507575758
1860,seaice_edge,2017,107057.291666667
1860,seaice_shoreline,2017,20991.9507575758
1865,seaice_edge,2017,107057.291666667
1865,seaice_shoreline,2017,20991.9507575758
1866,seaice_edge,2017,107057.291666667
1866,seaice_shoreline,2017,20991.9507575758
1867,seaice_edge,2017,107057.291666667
1867,seaice_shoreline,2017,20991.9507575758
1868,seaice_edge,2017,107057.291666667
1868,seaice_shoreline,2017,20991.9507575758
1870,seaice_edge,2017,107057.291666667
1870,seaice_shoreline,2017,20991.9507575758
1871,seaice_edge,2017,107057.291666667
1871,seaice_shoreline,2017,20991.9507575758
1874,seaice_edge,2017,107057.291666667
1874,seaice_shoreline,2017,20991.9507575758
1902,seaice_edge,2017,107057.291666667
1902,seaice_shoreline,2017,20991.9507575758
1903,seaice_edge,2017,107057.291666667
1903,seaice_shoreline,2017,20991.9507575758
1911,seaice_edge,2017,107057.291666667
1911,seaice_shoreline,2017,20991.9507575758
1913,seaice_edge,2017,107057.291666667
1913,seaice_shoreline,2017,20991.9507575758
1917,seaice_edge,2017,107057.291666667
1917,seaice_shoreline,2017,20991.9507575758
1919,seaice_edge,2017,107057.291666667
1919,seaice_shoreline,2017,20991.9507575758
1920,seaice_edge,2017,107057.291666667
1920,seaice_shoreline,2017,20991.9507575758
1923,seaice_edge,2017,107057.291666667
1923,seaice_shoreline,2017,20991.9507575758
1924,seaice_edge,2017,107057.291666667
1924,seaice_shoreline,2017,20991.9507575758
1925,seaice_edge,2017,107057.291666667
1925,seaice_shoreline,2017,20991.9507575758
1926,seaice_edge,2017,107057.291666667
1926,seaice_shoreline,2017,20991.9507575758
1927,seaice_edge,2017,107057.291666667
1927,seaice_shoreline,2017,20991.9507575758
1928,seaice_edge,2017,107057.291666667
1928,seaice_shoreline,2017,20991.9507575758
1929,seaice_edge,2017,107057.291666667
1929,seaice_shoreline,2017,20991.9507575758
1931,seaice_edge,2017,107057.291666667
1931,seaice_shoreline,2017,20991.9507575758
1933,seaice_edge,2017,107057.291666667
1933,seaice_shoreline,2017,20991.9507575758
1936,seaice_edge,2017,107057.291666667
1936,seaice_shoreline,2017,20991.9507575758
1938,seaice_edge,2017,107057.291666667
1938,seaice_shoreline,2017,20991.9507575758
1939,seaice_edge,2017,107057.291666667
1939,seaice_shoreline,2017,20991.9507575758
1940,seaice_edge,2017,107057.291666667
1940,seaice_shoreline,2017,20991.9507575758
1941,seaice_edge,2017,107057.291666667
1941,seaice_shoreline,2017,20991.9507575758
1942,seaice_edge,2017,107057.291666667
1942,seaice_shoreline,2017,20991.9507575758
1943,seaice_edge,2017,107057.291666667
1943,seaice_shoreline,2017,20991.9507575758
2002,seaice_edge,2017,107057.291666667
2002,seaice_shoreline,2017,20991.9507575758
2003,seaice_edge,2017,107057.291666667
2003,seaice_shoreline,2017,20991.9507575758
2004,seaice_edge,2017,107057.291666667
2004,seaice_shoreline,2017,20991.9507575758
2012,seaice_edge,2017,107057.291666667
2012,seaice_shoreline,2017,20991.9507575758
2014,seaice_edge,2017,107057.291666667
2014,seaice_shoreline,2017,20991.9507575758
2015,seaice_edge,2017,107057.291666667
2015,seaice_shoreline,2017,20991.9507575758
2017,seaice_edge,2017,107057.291666667
2017,seaice_shoreline,2017,20991.9507575758
2018,seaice_edge,2017,107057.291666667
2018,seaice_shoreline,2017,20991.9507575758
2019,seaice_edge,2017,107057.291666667
2019,seaice_shoreline,2017,20991.9507575758
2020,seaice_edge,2017,107057.291666667
2020,seaice_shoreline,2017,20991.9507575758
2022,seaice_edge,2017,107057.291666667
2022,seaice_shoreline,2017,20991.9507575758
2023,seaice_edge,2017,107057.291666667
2023,seaice_shoreline,2017,20991.9507575758
2024,seaice_edge,2017,107057.291666667
2024,seaice_shoreline,2017,20991.9507575758
2025,seaice_edge,2017,107057.291666667
2025,seaice_shoreline,2017,20991.9507575758
2027,seaice_edge,2017,107057.291666667
2027,seaice_shoreline,2017,20991.9507575758
2028,seaice_edge,2017,107057.291666667
2028,seaice_shoreline,2017,20991.9507575758
2030,seaice_edge,2017,107057.291666667
2030,seaice_shoreline,2017,20991.9507575758
